
                             CF:CF1 PI: ASSEMB  CF:CF2 PI: ASSEMB  CF:CF3 PI: ASSEMB  CF:Magnitude PI:   UT:Magnitude PI:   UT:U1 PI: ASSEMBL  UT:U2 PI: ASSEMBL  UT:U3 PI: ASSEMBL
                  X               LY N: 1            LY N: 1            LY N: 1         ASSEMBLY N: 1      ASSEMBLY N: 1          Y N: 1             Y N: 1             Y N: 1     

                0.                 0.              -230.                 0.               230.                 0.                 0.                 0.                 0.         
               16.6671E-03         0.              -230.                 0.               230.               181.19E-06           0.              -181.19E-06           0.         
               33.3341E-03         0.              -230.                 0.               230.               161.469E-06          0.              -161.469E-06          0.         
               50.0002E-03         0.              -230.                 0.               230.               176.809E-06          0.              -176.809E-06          0.         
               66.6672E-03         0.              -230.                 0.               230.               162.852E-06          0.              -162.852E-06          0.         
               83.3338E-03         0.              -230.                 0.               230.               165.972E-06          0.              -165.972E-06          0.         
              100.E-03             0.              -230.                 0.               230.               170.894E-06          0.              -170.894E-06          0.         
              116.667E-03          0.              -230.                 0.               230.               162.034E-06          0.              -162.034E-06          0.         
              133.334E-03          0.              -230.                 0.               230.               180.523E-06          0.              -180.523E-06          0.         
              150.001E-03          0.              -230.                 0.               230.               161.966E-06          0.              -161.966E-06          0.         
              166.667E-03          0.              -230.                 0.               230.               188.735E-06          0.              -188.735E-06          0.         
              183.333E-03          0.              -230.                 0.               230.               181.057E-06          0.              -181.057E-06          0.         
              200.001E-03          0.              -230.                 0.               230.               188.774E-06          0.              -188.774E-06          0.         
              216.667E-03          0.              -230.                 0.               230.               198.162E-06          0.              -198.162E-06          0.         
              233.333E-03          0.              -230.                 0.               230.               243.806E-06          0.              -243.806E-06          0.         
              250.001E-03          0.              -230.                 0.               230.               323.553E-06          0.              -323.553E-06          0.         
              266.667E-03          0.              -230.                 0.               230.               366.364E-06          0.              -366.364E-06          0.         
              283.333E-03          0.              -230.                 0.               230.               402.778E-06          0.              -402.778E-06          0.         
              300.E-03             0.              -230.                 0.               230.               499.451E-06          0.              -499.451E-06          0.         
              316.667E-03          0.              -230.                 0.               230.               506.258E-06          0.              -506.258E-06          0.         
              333.334E-03          0.              -230.                 0.               230.               508.294E-06          0.              -508.294E-06          0.         
              350.E-03             0.              -230.                 0.               230.               501.209E-06          0.              -501.209E-06          0.         
              366.667E-03          0.              -230.                 0.               230.               498.496E-06          0.              -498.496E-06          0.         
              383.333E-03          0.              -230.                 0.               230.               500.439E-06          0.              -500.439E-06          0.         
              400.E-03             0.              -230.                 0.               230.               492.792E-06          0.              -492.792E-06          0.         
              416.667E-03          0.              -230.                 0.               230.               547.722E-06          0.              -547.722E-06          0.         
              433.334E-03          0.              -230.                 0.               230.               523.183E-06          0.              -523.183E-06          0.         
              450.E-03             0.              -230.                 0.               230.               515.62E-06           0.              -515.62E-06           0.         
              466.667E-03          0.              -230.                 0.               230.               537.002E-06          0.              -537.002E-06          0.         
